date,region,cases_cases,weather_temperature,weather_humidity,weather_precipitation,wastewater_viral_load,day_of_week,month,year,day,day_of_year_sin,day_of_year_cos
2019-12-25,Region_1,,,,,93.72,2,12,2019,25,-0.10730813165636247,0.9942258118156161
2019-12-26,Region_1,,,,,166.49,3,12,2019,26,-0.09019000427034513,0.9959245770286599
2019-12-27,Region_1,,,,,138.1,4,12,2019,27,-0.07304518821104743,0.9973286321364752
2019-12-28,Region_1,,,,,228.91,5,12,2019,28,-0.05587875690537313,0.9984375616565666
2019-12-29,Region_1,,,,,174.42,6,12,2019,29,-0.03869579017652689,0.9992510374388481
2019-12-30,Region_1,,,,,122.8,0,12,2019,30,-0.021501372740813793,0.999768818762748
2019-12-31,Region_1,,,,,150.03,1,12,2019,31,-0.004300592702981974,0.9999907524084426
2020-01-01,Region_1,14.0,-3.6,76.9,10.2,158.92,2,1,2020,1,0.017201575418260506,0.9998520419557735
2020-01-02,Region_1,27.0,-0.8,71.1,7.5,73.02,3,1,2020,2,0.03439806061360801,0.9994082116062598
2020-01-03,Region_1,25.0,-0.9,77.1,2.1,207.54,4,1,2020,3,0.051584366869408364,0.9986686402879997
2020-01-04,Region_1,35.0,-1.2,76.9,1.7,146.89,5,1,2020,4,0.06875540848113941,0.9976335468520451
2020-01-05,Region_1,28.0,-0.2,67.5,3.6,162.85,6,1,2020,5,0.08590610426133272,0.9963032375991965
2020-01-06,Region_1,18.0,-4.4,71.1,14.25,148.12,0,1,2020,6,0.10303137904317879,0.9946781061893646
2020-01-07,Region_1,27.0,1.0,75.1,0.4,205.41,1,1,2020,7,0.1201261651823505,0.9927586335250793
2020-01-08,Region_1,23.0,-0.0,72.1,4.4,103.46,2,1,2020,8,0.13718540405660057,0.9905453876091833
2020-01-09,Region_1,23.0,-1.2,66.5,3.4,162.66,3,1,2020,9,0.1542040475626894,0.988039023376751
2020-01-10,Region_1,27.0,1.4,78.5,5.1,146.56,4,1,2020,10,0.17117705961019986,0.985240282501282
2020-01-11,Region_1,32.0,2.4,65.0,14.25,199.26,5,1,2020,11,0.18809941761179758,0.9821499931752291
2020-01-12,Region_1,36.0,-2.3,64.7,6.8,121.95,6,1,2020,12,0.20496611396949532,0.9787690698649216
2020-01-13,Region_1,29.0,1.6,71.7,5.9,167.93,0,1,2020,13,0.22177215755648186,0.975098513039961
2020-01-14,Region_1,39.0,2.0,70.3,12.4,242.07,1,1,2020,14,0.23851257519407648,0.9711394088771653
2020-01-15,Region_1,32.0,0.2,71.2,1.2,193.57,2,1,2020,15,0.2551824131233728,0.9668929289391521
2020-01-16,Region_1,29.0,4.2,70.7,2.0,293.12,3,1,2020,16,0.2717767384711357,0.9623603298276545
2020-01-17,Region_1,38.0,5.7,68.3,10.2,311.45,4,1,2020,17,0.2882906407095177,0.9575429528116719
2020-01-18,Region_1,36.0,1.4,68.6,0.6,280.81,5,1,2020,18,0.3047192331091634,0.9524422234305676
2020-01-19,Region_1,26.0,3.9,71.8,0.6,196.94,6,1,2020,19,0.321057654185271,0.9470596510722283
2020-01-20,Region_1,28.0,5.1,80.2,0.1,271.24,0,1,2020,20,0.3373010691361842,0.9413968285264122
2020-01-21,Region_1,43.0,1.9,68.2,6.0,201.32,1,1,2020,21,0.3534446712740877,0.9354554315134164
2020-01-22,Region_1,30.0,5.9,78.2,2.8,300.8,2,1,2020,22,0.3694836834473831,0.9292372181882051
2020-01-23,Region_1,47.0,3.8,64.5,14.1,212.26,3,1,2020,23,0.38541335945432564,0.9227440286201427
2020-01-24,Region_1,44.0,4.3,65.5,2.7,169.98,4,1,2020,24,0.4012289854475009,0.9159777842484877
2020-01-25,Region_1,45.0,7.6,63.6,8.4,234.07,5,1,2020,25,0.4169258813287287,0.908940487313808
2020-01-26,Region_1,37.0,8.2,58.7,1.6,286.2,6,1,2020,26,0.4324994021339788,0.901634220265486
2020-01-27,Region_1,40.0,9.3,68.5,1.0,174.19,0,1,2020,27,0.44794493940789115,0.8940611451454876
2020-01-28,Region_1,32.0,6.8,75.9,0.4,100.18,1,1,2020,28,0.4632579225674917,0.88622350294858
2020-01-29,Region_1,46.0,8.0,70.8,0.9,199.58,2,1,2020,29,0.4784338202547012,0.8781236129591848
2020-01-30,Region_1,41.0,7.2,72.0,7.6,252.52,3,1,2020,30,0.49346814167723735,0.8697638720650646
2020-01-31,Region_1,39.0,9.1,64.7,2.7,225.71,4,1,2020,31,0.5083564379375122,0.8611467540480452
2020-02-01,Region_1,43.0,6.6,74.0,3.4,191.17,5,2,2020,1,0.5230943033491326,0.8522748088519838
2020-02-02,Region_1,44.0,7.2,63.1,5.3,144.18,6,2,2020,2,0.5376773767406141,0.8431506618282
2020-02-03,Region_1,38.0,10.8,68.6,0.7,195.06,0,2,2020,3,0.5521013427459208,0.8337770129585915
2020-02-04,Region_1,32.0,10.7,66.8,1.4,373.37,1,2,2020,4,0.5663619330814524,0.8241566360566663
2020-02-05,Region_1,44.0,5.2,60.2,12.8,157.54,2,2,2020,5,0.580454927809098,0.8142923779467267
2020-02-06,Region_1,40.0,7.3,61.4,0.6,316.25,3,2,2020,6,0.5943761565849831,0.804187157621448
2020-02-07,Region_1,45.0,9.8,69.7,2.0,302.4,4,2,2020,7,0.6081214998935418,0.7938439653781019
2020-02-08,Region_1,44.0,9.6,68.7,0.6,205.67,5,2,2020,8,0.6216868902665479,0.7832658619336791
2020-02-09,Region_1,37.0,12.0,60.3,4.2,247.93,6,2,2020,9,0.6350683134867438,0.7724559775191742
2020-02-10,Region_1,55.0,11.5,60.8,3.8,398.97,0,2,2020,10,0.6482618097757122,0.7614175109532997
2020-02-11,Region_1,55.0,9.4,55.0,10.6,335.21,1,2,2020,11,0.6612634749656386,0.7501537286959042
2020-02-12,Region_1,41.0,12.4,65.8,0.9,227.55,2,2,2020,12,0.6740694616546161,0.7386679638813748
2020-02-13,Region_1,50.0,12.3,63.0,4.5,147.12,3,2,2020,13,0.6866759803451553,0.726963615332308
2020-02-14,Region_1,49.0,13.5,58.5,9.3,252.69,4,2,2020,14,0.6990793005655562,0.7150441465537444
2020-02-15,Region_1,52.0,12.9,64.7,4.2,269.11,5,2,2020,15,0.7112757519738152,0.7029130847082615
2020-02-16,Region_1,38.0,14.2,55.6,1.9,217.54,6,2,2020,16,0.7232617254437388,0.6905740195722293
2020-02-17,Region_1,49.0,11.1,68.8,11.2,153.28,0,2,2020,17,0.7350336741329413,0.6780306024735382
2020-02-18,Region_1,52.0,13.0,59.1,5.8,239.93,1,2,2020,18,0.746588114532413,0.6652865452111116
2020-02-19,Region_1,47.0,12.1,53.9,3.3,351.69,2,2,2020,19,0.7579216274973472,0.6523456189565257
2020-02-20,Region_1,55.0,10.6,64.4,0.4,309.59,3,2,2020,20,0.7690308592589181,0.6392116531380588
2020-02-21,Region_1,56.0,15.9,67.4,0.4,281.75,4,2,2020,21,0.7799125224167177,0.6258885343075018
2020-02-22,Region_1,51.0,18.4,67.6,2.2,349.05,5,2,2020,22,0.7905633969115482,0.612380204990065
2020-02-23,Region_1,44.0,14.0,55.7,0.8,220.41,6,2,2020,23,0.8009803309782905,0.5986906625177214
2020-02-24,Region_1,54.0,11.8,57.5,4.3,237.52,0,2,2020,24,0.8111602420785621,0.5848239578463322
2020-02-25,Region_1,56.0,16.1,55.4,0.0,311.87,1,2,2020,25,0.8211001178128892,0.5707841943569036
2020-02-26,Region_1,57.0,13.4,61.8,0.7,375.62,2,2,2020,26,0.8307970168121247,0.5565755266413303
2020-02-27,Region_1,55.0,18.2,61.0,6.9,346.29,3,2,2020,27,0.8402480696078469,0.5422021592729844
2020-02-28,Region_1,53.0,19.5,53.1,9.0,303.48,4,2,2020,28,0.8494504794814806,0.527668345562516
2020-02-29,Region_1,48.0,17.5,55.8,2.5,324.27,5,2,2020,29,0.8584015232918917,0.512978386299228
2020-03-01,Region_1,53.0,14.7,57.4,0.9,410.9,6,3,2020,1,0.8670985522812081,0.4981366284784055
2020-03-02,Region_1,53.0,19.1,63.6,4.5,261.16,0,3,2020,2,0.8755389928586302,0.4831474640149687
2020-03-03,Region_1,52.0,19.9,61.8,3.3,265.03,1,3,2020,3,0.8837203473619977,0.4680153284438345
2020-03-04,Region_1,69.0,15.6,65.9,5.9,238.24,2,3,2020,4,0.8916401947968874,0.45274469960737107
2020-03-05,Region_1,65.0,17.8,62.6,4.8,378.67,3,3,2020,5,0.8992961915530253,0.4373400963303323
2020-03-06,Region_1,68.0,18.6,57.0,6.1,247.03,4,3,2020,6,0.9066860720977985,0.4218060770826634
