date,region,temperature,humidity,precipitation
2020-01-01,Region_1,-3.6,76.9,10.2
2020-01-02,Region_1,-0.8,71.1,7.5
2020-01-03,Region_1,-0.9,77.1,2.1
2020-01-04,Region_1,-1.2,76.9,1.7
2020-01-05,Region_1,-0.2,67.5,3.6
2020-01-06,Region_1,-4.4,71.1,15.4
2020-01-07,Region_1,1.0,75.1,0.4
2020-01-08,Region_1,-0.0,72.1,4.4
2020-01-09,Region_1,-1.2,66.5,3.4
2020-01-10,Region_1,1.4,78.5,5.1
2020-01-11,Region_1,2.4,65.0,14.5
2020-01-12,Region_1,-2.3,64.7,6.8
2020-01-13,Region_1,1.6,71.7,5.9
2020-01-14,Region_1,2.0,70.3,12.4
2020-01-15,Region_1,0.2,71.2,1.2
2020-01-16,Region_1,4.2,70.7,2.0
2020-01-17,Region_1,5.7,68.3,10.2
2020-01-18,Region_1,1.4,68.6,0.6
2020-01-19,Region_1,3.9,71.8,0.6
2020-01-20,Region_1,5.1,80.2,0.1
2020-01-21,Region_1,1.9,68.2,6.0
2020-01-22,Region_1,5.9,78.2,2.8
2020-01-23,Region_1,3.8,64.5,14.1
2020-01-24,Region_1,4.3,65.5,2.7
2020-01-25,Region_1,7.6,63.6,8.4
2020-01-26,Region_1,8.2,58.7,1.6
2020-01-27,Region_1,9.3,68.5,1.0
2020-01-28,Region_1,6.8,75.9,0.4
2020-01-29,Region_1,8.0,70.8,0.9
2020-01-30,Region_1,7.2,72.0,7.6
2020-01-31,Region_1,9.1,64.7,2.7
2020-02-01,Region_1,6.6,74.0,3.4
2020-02-02,Region_1,7.2,63.1,5.3
2020-02-03,Region_1,10.8,68.6,0.7
2020-02-04,Region_1,10.7,66.8,1.4
2020-02-05,Region_1,5.2,60.2,12.8
2020-02-06,Region_1,7.3,61.4,0.6
2020-02-07,Region_1,9.8,69.7,2.0
2020-02-08,Region_1,9.6,68.7,0.6
2020-02-09,Region_1,12.0,60.3,4.2
2020-02-10,Region_1,11.5,60.8,3.8
2020-02-11,Region_1,9.4,55.0,10.6
2020-02-12,Region_1,12.4,65.8,0.9
2020-02-13,Region_1,12.3,63.0,4.5
2020-02-14,Region_1,13.5,58.5,9.3
